GCA_protein_ID,GCA_gene_ID,GCF_protein_ID,GCF_gene_ID,common_name,product,Orthogroup
ABJ15180.1,PA14_02840,WP_003110231.1,PA14_RS01140,pcaD,3-oxoadipate enol-lactonase,OG0000229
ABJ15181.1,PA14_02850,WP_003137108.1,PA14_RS01145,pcaC,4-carboxymuconolactone decarboxylase,OG0005029
ABJ15182.1,PA14_02870,WP_003084073.1,PA14_RS01150,PA14_RS01150,LysR family transcriptional regulator,OG0005030
ABJ15183.1,PA14_02890,WP_003137110.1,PA14_RS01155,PA14_RS01155,hypothetical protein,OG0005031
ABJ15184.1,PA14_02900,WP_003137113.1,PA14_RS01160,PA14_RS01160,MFS transporter,OG0000166
ABJ15185.1,PA14_02910,WP_003110229.1,PA14_RS01165,PA14_RS01165,IclR family transcriptional regulator,OG0005032
ABJ15186.1,PA14_02930,WP_003121655.1,PA14_RS01170,PA14_RS01170,Gfo/Idh/MocA family oxidoreductase,OG0005033
ABJ15187.1,PA14_02960,WP_003084082.1,PA14_RS01175,PA14_RS01175,TIM barrel protein,OG0005034
ABJ15188.1,PA14_02970,WP_003121656.1,PA14_RS01180,PA14_RS01180,DMT family transporter,OG0005035
ABJ15189.1,PA14_02980,WP_003133066.1,PA14_RS01185,PA14_RS01185,OprD family porin,OG0000000
ABJ15190.1,PA14_02990,WP_003101861.1,PA14_RS01190,PA14_RS01190,MFS transporter,OG0005036
ABJ15191.1,PA14_03000,WP_003137117.1,PA14_RS01195,quiC1,3-dehydroshikimate dehydratase,OG0005037
ABJ15192.1,PA14_03010,WP_003101858.1,PA14_RS01200,PA14_RS01200,TetR/AcrR family transcriptional regulator,OG0005038
ABJ15193.1,PA14_03020,WP_003137120.1,PA14_RS01205,PA14_RS01205,shikimate dehydrogenase,OG0005039
ABJ15194.1,PA14_03030,WP_003137122.1,PA14_RS01210,aroQ,type II 3-dehydroquinate dehydratase,OG0000216
ABJ15195.1,PA14_03040,WP_003137124.1,PA14_RS01215,PA14_RS01215,MDR family MFS transporter,OG0005040
ABJ15196.1,PA14_03050,WP_003137126.1,PA14_RS01220,pobA,4-hydroxybenzoate 3-monooxygenase,OG0005041
ABJ15197.1,PA14_03070,WP_003137128.1,PA14_RS01225,PA14_RS01225,helix-turn-helix domain-containing protein,OG0005042
ABJ15198.1,PA14_03080,WP_003084100.1,PA14_RS01230,PA14_RS01230,GNAT family N-acetyltransferase,OG0005043
ABJ15199.1,PA14_03090,WP_003084101.1,PA14_RS01235,PA14_RS01235,CBS domain-containing protein,OG0005044
ABJ15200.1,PA14_03100,WP_003106166.1,PA14_RS01240,PA14_RS01240,suppressor of fused domain protein,OG0005045
ABJ15201.1,PA14_03110,WP_003137130.1,PA14_RS01245,PA14_RS01245,hypothetical protein,OG0005046
ABJ15202.1,PA14_03120,WP_003118626.1,PA14_RS01250,PA14_RS01250,MarR family transcriptional regulator,OG0005047
ABJ15203.1,PA14_03130,WP_003137133.1,PA14_RS01255,hudA,UbiD family decarboxylase HudA,OG0005048
ABJ15204.1,PA14_03150,WP_003106170.1,PA14_RS01260,PA14_RS01260,YoaK family protein,OG0005049
ABJ15205.1,PA14_03160,WP_003084116.1,PA14_RS01265,PA14_RS01265,hypothetical protein,OG0005050
ABJ15668.1,PA14_03163,WP_023107584.1,PA14_RS01270,PA14_RS01270,Panacea domain-containing protein,OG0005467
ABJ15667.1,PA14_03166,WP_170868735.1,PA14_RS01275,PA14_RS01275,hypothetical protein,OG0005466
ABJ15206.1,PA14_03170,,,,,
ABJ15207.1,PA14_03180,,,,,
ABJ15208.1,PA14_03190,WP_277424738.1,,,,OG0005051
ABJ15209.1,PA14_03200,WP_003084124.1,PA14_RS01295,PA14_RS01295,DUF3274 domain-containing protein,OG0005052
ABJ15210.1,PA14_03210,WP_003111943.1,PA14_RS01300,PA14_RS01300,hypothetical protein,OG0005053
ABJ15211.1,PA14_03220,WP_003137141.1,PA14_RS01305,PA14_RS01305,type VI secretion system tip protein VgrG,OG0000092
ABJ15212.1,PA14_03240,,,,,
ABJ15213.1,PA14_03250,WP_003137172.1,PA14_RS01320,PA14_RS01320,DUF3375 domain-containing protein,OG0005054
ABJ15670.1,PA14_03265,WP_003137174.1,PA14_RS01325,PA14_RS01325,DUF4194 domain-containing protein,OG0005469
ABJ15214.1,PA14_03270,WP_016254338.1,PA14_RS01330,PA14_RS01330,hypothetical protein,OG0005055
ABJ15669.1,PA14_03285,WP_223720391.1,PA14_RS01335,PA14_RS01335,DUF2220 family protein,OG0005468
ABJ15215.1,PA14_03290,,,,,
ABJ15216.1,PA14_03300,,,,,
ABJ15217.1,PA14_03310,WP_016254336.1,PA14_RS01355,PA14_RS01355,glycosyltransferase family 9 protein,OG0005056
ABJ15218.1,PA14_03320,WP_003137189.1,PA14_RS01360,PA14_RS01360,hypothetical protein,OG0005057
ABJ15219.1,PA14_03330,WP_003137191.1,PA14_RS01365,PA14_RS01365,histidinol-phosphatase,OG0005058
ABJ15220.1,PA14_03340,WP_016254333.1,PA14_RS01370,PA14_RS01370,radical SAM protein,OG0005059
ABJ15221.1,PA14_03350,WP_003137195.1,PA14_RS01375,PA14_RS01375,hypothetical protein,OG0005060
ABJ15222.1,PA14_03360,WP_003137196.1,PA14_RS01380,PA14_RS01380,YaaW family protein,OG0005061
ABJ15223.1,PA14_03370,WP_016254330.1,PA14_RS01385,PA14_RS01385,hypothetical protein,OG0005062
ABJ15224.1,PA14_03380,WP_223720393.1,PA14_RS01395,PA14_RS01395,STY4851/ECs_5259 family protein,OG0005063
ABJ15225.1,PA14_03390,WP_003137199.1,PA14_RS01400,PA14_RS01400,DUF3596 domain-containing protein,OG0005064
ABJ15226.1,PA14_03400,WP_016254326.1,PA14_RS01405,PA14_RS01405,hypothetical protein,OG0005065
ABJ15227.1,PA14_03420,,,,,
ABJ15228.1,PA14_03430,WP_003084198.1,PA14_RS01425,gabD,NADP-dependent succinate-semialdehyde dehydrogenase,OG0005066
ABJ15229.1,PA14_03450,WP_003084201.1,PA14_RS01430,gabT,4-aminobutyrate--2-oxoglutarate transaminase,OG0005067
ABJ15230.1,PA14_03470,WP_003084206.1,PA14_RS01435,PA14_RS01435,HDOD domain-containing protein,OG0005068
ABJ15231.1,PA14_03480,WP_003137201.1,PA14_RS01440,PA14_RS01440,PLP-dependent aminotransferase family protein,OG0005069
ABJ15232.1,PA14_03490,WP_003084211.1,PA14_RS01445,PA14_RS01445,carboxymuconolactone decarboxylase family protein,OG0005070
ABJ15233.1,PA14_03510,WP_003084212.1,PA14_RS01450,PA14_RS01450,cupin domain-containing protein,OG0005071
ABJ15234.1,PA14_03520,WP_003106257.1,PA14_RS01455,PA14_RS01455,putative quinol monooxygenase,OG0000130
ABJ15235.1,PA14_03530,WP_003137203.1,PA14_RS01460,PA14_RS01460,LysR family transcriptional regulator,OG0005072
ABJ15236.1,PA14_03550,WP_003137205.1,PA14_RS01465,PA14_RS01465,CynX/NimT family MFS transporter,OG0005073
ABJ15237.1,PA14_03560,WP_003137207.1,PA14_RS01470,PA14_RS01470,hypothetical protein,OG0005074
ABJ15238.1,PA14_03580,WP_003137209.1,PA14_RS01475,PA14_RS01475,Crp/Fnr family transcriptional regulator,OG0005075
ABJ15239.1,PA14_03590,WP_003084225.1,PA14_RS01480,PA14_RS01480,DUF962 domain-containing protein,OG0005076
ABJ15240.1,PA14_03610,WP_003112168.1,PA14_RS01485,PA14_RS01485,M48 family metallopeptidase,OG0005077
ABJ15241.1,PA14_03620,WP_003137211.1,PA14_RS01490,PA14_RS01490,sulfite exporter TauE/SafE family protein,OG0005078
ABJ15242.1,PA14_03630,WP_003137212.1,PA14_RS01495,PA14_RS01495,helix-turn-helix transcriptional regulator,OG0005079
ABJ15243.1,PA14_03650,WP_003084237.1,PA14_RS01500,PA14_RS01500,sulfate ABC transporter ATP-binding protein,OG0005080
ABJ15244.1,PA14_03670,WP_003084239.1,PA14_RS01505,cysW,sulfate ABC transporter permease subunit CysW,OG0005081
ABJ15245.1,PA14_03680,WP_003084241.1,PA14_RS01510,cysT,sulfate ABC transporter permease subunit CysT,OG0005082
ABJ15246.1,PA14_03700,WP_003084243.1,PA14_RS01515,PA14_RS01515,sulfate ABC transporter substrate-binding protein,OG0000088
ABJ15247.1,PA14_03710,WP_003084246.1,PA14_RS01520,oscA,sulfur starvation response protein OscA,OG0005083
ABJ15248.1,PA14_03720,WP_003084250.1,PA14_RS01525,PA14_RS01525,EAL domain-containing protein,OG0005084
ABJ15249.1,PA14_03730,WP_003084252.1,PA14_RS01530,PA14_RS01530,acyl-CoA desaturase,OG0005085
ABJ15250.1,PA14_03760,WP_003104497.1,PA14_RS01535,PA14_RS01535,sodium:solute symporter,OG0000085
ABJ15251.1,PA14_03770,WP_003104498.1,PA14_RS01540,speB,agmatinase,OG0000086
ABJ15252.1,PA14_03780,WP_003137213.1,PA14_RS01545,PA14_RS01545,LysR family transcriptional regulator,OG0005086
ABJ15253.1,PA14_03790,WP_003137214.1,PA14_RS01550,PA14_RS01550,sensor domain-containing diguanylate cyclase,OG0005087
ABJ15254.1,PA14_03800,WP_003137216.1,PA14_RS01555,PA14_RS01555,OprD family porin,OG0005088
ABJ15255.1,PA14_03810,WP_003121701.1,PA14_RS01560,aguA,agmatine deiminase,OG0005089
ABJ15256.1,PA14_03830,WP_003111119.1,PA14_RS01565,aguB,N-carbamoylputrescine amidase,OG0000073
ABJ15257.1,PA14_03840,WP_003137218.1,PA14_RS01570,PA14_RS01570,TetR/AcrR family transcriptional regulator,OG0005090
ABJ15639.1,PA14_03855,WP_003107781.1,PA14_RS01575,PA14_RS01575,polyamine ABC transporter substrate-binding protein,OG0005444
ABJ15258.1,PA14_03860,WP_003112937.1,PA14_RS01580,PA14_RS01580,glutamine synthetase family protein,OG0000129
ABJ15259.1,PA14_03870,WP_003112938.1,PA14_RS01585,PA14_RS01585,gamma-glutamyl-gamma-aminobutyrate hydrolase family protein,OG0005091
ABJ15260.1,PA14_03880,WP_003084290.1,PA14_RS01590,PA14_RS01590,glutamine synthetase family protein,OG0005092
ABJ15261.1,PA14_03900,WP_003084297.1,PA14_RS01595,spuC,putrescine--pyruvate aminotransferase,OG0000228
ABJ15262.1,PA14_03920,WP_003084299.1,PA14_RS01600,spuD,putrescine-binding protein SpuD,OG0000003
ABJ15263.1,PA14_03930,WP_003084301.1,PA14_RS01605,spuE,spermidine-binding protein SpuE,OG0000003
ABJ15264.1,PA14_03940,WP_003084303.1,PA14_RS01610,potA,polyamine ABC transporter ATP-binding protein,OG0005093
ABJ15265.1,PA14_03950,WP_003121722.1,PA14_RS01615,PA14_RS01615,ABC transporter permease subunit,OG0005094
ABJ15266.1,PA14_03960,WP_003084307.1,PA14_RS01620,PA14_RS01620,ABC transporter permease subunit,OG0005095
ABJ15267.1,PA14_03980,WP_004364970.1,PA14_RS01625,hacB,N-acylhomoserine lactone acylase HacB,OG0005096
ABJ15268.1,PA14_04000,WP_004364972.1,PA14_RS01630,PA14_RS01630,AraC family transcriptional regulator,OG0005097
ABJ15269.1,PA14_04010,WP_003084314.1,PA14_RS01635,PA14_RS01635,hypothetical protein,OG0000144
ABJ15271.1,PA14_04020,WP_003118762.1,PA14_RS01640,PA14_RS01640,DUF6436 domain-containing protein,OG0005099
ABJ15270.1,PA14_04030,WP_003084318.1,PA14_RS01645,PA14_RS01645,alpha/beta hydrolase,OG0005098
ABJ15272.1,PA14_04040,WP_004364975.1,PA14_RS01650,PA14_RS01650,hypothetical protein,OG0005100
ABJ15273.1,PA14_04050,WP_003128868.1,PA14_RS01655,PA14_RS01655,2OG-Fe(II) oxygenase,OG0005101
ABJ15274.1,PA14_04060,WP_003084327.1,PA14_RS01660,PA14_RS01660,DUF6160 family protein,OG0005102
ABJ15275.1,PA14_04070,WP_003084333.1,PA14_RS01665,PA14_RS01665,DUF523 domain-containing protein,OG0005103
ABJ15276.1,PA14_04080,WP_003084339.1,PA14_RS01670,PA14_RS01670,amino acid ABC transporter permease,OG0005104
ABJ15277.1,PA14_04090,WP_003084341.1,PA14_RS01675,PA14_RS01675,cystine ABC transporter substrate-binding protein,OG0005105
ABJ15278.1,PA14_04100,WP_003084345.1,PA14_RS01680,PA14_RS01680,DUF4399 domain-containing protein,OG0005106
ABJ15279.1,PA14_04110,WP_003084348.1,PA14_RS01685,serA,phosphoglycerate dehydrogenase,OG0005107
ABJ15280.1,PA14_04140,WP_003084351.1,PA14_RS01690,PA14_RS01690,FAD-binding oxidoreductase,OG0005108
ABJ15281.1,PA14_04150,WP_003110705.1,PA14_RS01695,PA14_RS01695,fumarylacetoacetate hydrolase family protein,OG0005109
ABJ15282.1,PA14_04160,WP_004364976.1,PA14_RS01700,PA14_RS01700,YjiK family protein,OG0005110
ABJ15283.1,PA14_04180,WP_003084357.1,PA14_RS01705,PA14_RS01705,YgiW/YdeI family stress tolerance OB fold protein,OG0005111
ABJ15284.1,PA14_04190,WP_003110574.1,PA14_RS01710,aphB,acetylpolyamine amidohydrolase AphB,OG0000084
ABJ15285.1,PA14_04210,WP_003110575.1,PA14_RS01715,PA14_RS01715,APC family permease,OG0005112
ABJ15286.1,PA14_04220,WP_004364977.1,PA14_RS01720,PA14_RS01720,extracellular solute-binding protein,OG0005113
ABJ15287.1,PA14_04230,WP_003084366.1,PA14_RS01725,PA14_RS01725,ABC transporter permease,OG0005114
ABJ15288.1,PA14_04240,WP_004364979.1,PA14_RS01730,PA14_RS01730,ABC transporter permease,OG0005115
ABJ15289.1,PA14_04250,WP_004364982.1,PA14_RS01735,PA14_RS01735,ABC transporter ATP-binding protein,OG0005116
ABJ15290.1,PA14_04270,WP_004364984.1,PA14_RS01740,PA14_RS01740,YjiK family protein,OG0000127
ABJ15291.1,PA14_04290,WP_004364986.1,PA14_RS01745,PA14_RS01745,autotransporter domain-containing protein,OG0005117
ABJ15292.1,PA14_04300,WP_003110581.1,PA14_RS01750,PA14_RS01750,YegP family protein,OG0005118
ABJ15293.1,PA14_04310,WP_003084386.1,PA14_RS01755,rpiA,ribose-5-phosphate isomerase RpiA,OG0005119
ABJ15294.1,PA14_04320,WP_071535559.1,PA14_RS01760,ilvA,threonine ammonia-lyase%2C biosynthetic,OG0000079
ABJ15295.1,PA14_04330,WP_003084389.1,PA14_RS01765,PA14_RS01765,DUF2269 family protein,OG0005120
ABJ15296.1,PA14_04340,WP_004364992.1,PA14_RS01770,PA14_RS01770,SDR family oxidoreductase,OG0005121
ABJ15297.1,PA14_04350,WP_003084393.1,PA14_RS01775,PA14_RS01775,DUF2269 domain-containing protein,OG0005122
ABJ15298.1,PA14_04370,WP_004364994.1,PA14_RS01780,PA14_RS01780,MFS transporter,OG0005123
ABJ15299.1,PA14_04380,WP_004364996.1,PA14_RS01785,PA14_RS01785,HAD family phosphatase,OG0005124
ABJ15300.1,PA14_04390,WP_003084400.1,PA14_RS01790,PA14_RS01790,RNA pyrophosphohydrolase,OG0005125
ABJ15301.1,PA14_04410,WP_003084404.1,PA14_RS01795,ptsP,phosphoenolpyruvate--protein phosphotransferase,OG0005126
ABJ15302.1,PA14_04420,WP_016254322.1,,,,OG0005127
ABJ15303.1,PA14_04430,WP_003084407.1,PA14_RS01805,PA14_RS01805,NRDE family protein,OG0005128
ABJ15304.1,PA14_04440,WP_003128899.1,PA14_RS01810,PA14_RS01810,sulfite exporter TauE/SafE family protein,OG0005129
ABJ15305.1,PA14_04460,WP_003084409.1,PA14_RS01815,lgt,prolipoprotein diacylglyceryl transferase,OG0005130
ABJ15306.1,PA14_04480,WP_003110588.1,PA14_RS01820,PA14_RS01820,thymidylate synthase,OG0005131
ABJ15307.1,PA14_04490,WP_003084414.1,PA14_RS01825,PA14_RS01825,FkbM family methyltransferase,OG0005132
ABJ15308.1,PA14_04510,WP_004365006.1,PA14_RS01830,PA14_RS01830,GTPase/DUF3482 domain-containing protein,OG0005133
ABJ15309.1,PA14_04520,WP_004365009.1,PA14_RS01835,PA14_RS01835,DUF2868 domain-containing protein,OG0005134
ABJ15310.1,PA14_04530,WP_004365011.1,PA14_RS01840,PA14_RS01840,hypothetical protein,OG0005135
ABJ15311.1,PA14_04550,WP_003110415.1,PA14_RS01845,PA14_RS01845,glycerophosphodiester phosphodiesterase,OG0005136
ABJ15312.1,PA14_04560,WP_003110414.1,PA14_RS01850,PA14_RS01850,hypothetical protein,OG0005137
ABJ15313.1,PA14_04570,WP_004365014.1,PA14_RS01855,PA14_RS01855,hypothetical protein,OG0005138
ABJ15314.1,PA14_04580,WP_003084430.1,PA14_RS01860,PA14_RS01860,dihydrofolate reductase,OG0005139
ABJ15315.1,PA14_04590,WP_003102894.1,PA14_RS01865,PA14_RS01865,metallophosphoesterase family protein,OG0005140
ABJ15316.1,PA14_04610,WP_003102887.1,PA14_RS01870,PA14_RS01870,uracil-xanthine permease family protein,OG0005141
ABJ15317.1,PA14_04630,WP_003084436.1,PA14_RS01875,ilvD,dihydroxy-acid dehydratase,OG0005142
ABJ15318.1,PA14_04640,WP_003084438.1,PA14_RS01880,PA14_RS01880,class I SAM-dependent rRNA methyltransferase,OG0005143
ABJ15319.1,PA14_04650,WP_004365019.1,PA14_RS01885,pfpI,protease PfpI,OG0005144
ABJ15320.1,PA14_04660,WP_004365020.1,PA14_RS01890,PA14_RS01890,HDOD domain-containing protein,OG0005145
ABJ15321.1,PA14_04670,WP_003102876.1,PA14_RS01895,mutM,bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase,OG0005146
ABJ15322.1,PA14_04680,WP_004365021.1,PA14_RS01900,PA14_RS01900,lysophospholipid acyltransferase family protein,OG0005147
ABJ15323.1,PA14_04690,WP_003084452.1,PA14_RS01905,PA14_RS01905,hypothetical protein,OG0005148
ABJ15324.1,PA14_04700,WP_003110409.1,PA14_RS01910,PA14_RS01910,tetratricopeptide repeat protein,OG0005149
ABJ15325.1,PA14_04710,WP_003084454.1,PA14_RS01915,PA14_RS01915,hypothetical protein,OG0005150
ABJ15326.1,PA14_04730,WP_004365022.1,PA14_RS01920,ggt,gamma-glutamyltransferase,OG0005151
ABJ15327.1,PA14_04750,WP_003084462.1,PA14_RS01925,PA14_RS01925,YfhL family 4Fe-4S dicluster ferredoxin,OG0005152
ABJ15328.1,PA14_04760,WP_003084466.1,PA14_RS01930,coaD,pantetheine-phosphate adenylyltransferase,OG0005153
ABJ15329.1,PA14_04780,WP_003102870.1,PA14_RS01935,PA14_RS01935,GMC family oxidoreductase,OG0005154
ABJ15330.1,PA14_04790,WP_003084486.1,PA14_RS01940,PA14_RS01940,hypothetical protein,OG0005155
ABJ15331.1,PA14_04810,WP_004365023.1,PA14_RS01945,PA14_RS01945,coniferyl aldehyde dehydrogenase,OG0005156
ABJ15332.1,PA14_04820,WP_003084488.1,PA14_RS01950,PA14_RS01950,TetR/AcrR family transcriptional regulator,OG0005157
ABJ15333.1,PA14_04830,WP_003084489.1,PA14_RS01955,PA14_RS01955,GNAT family N-acetyltransferase,OG0005158
ABJ15334.1,PA14_04840,WP_003084490.1,PA14_RS01960,PA14_RS01960,hydrolase,OG0005159
ABJ15335.1,PA14_04850,WP_003110405.1,PA14_RS01965,PA14_RS01965,hypothetical protein,OG0005160
ABJ15336.1,PA14_04860,WP_003102864.1,PA14_RS01970,rsmD,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,OG0005161
ABJ15337.1,PA14_04870,WP_004365024.1,PA14_RS01975,PA14_RS01975,pitrilysin family protein,OG0005162
ABJ15338.1,PA14_04890,WP_003084498.1,PA14_RS01980,PA14_RS01980,pitrilysin family protein,OG0005163
ABJ15339.1,PA14_04900,WP_004365026.1,PA14_RS01985,ftsY,signal recognition particle-docking protein FtsY,OG0005164
ABJ15340.1,PA14_04910,WP_003084505.1,PA14_RS01990,ftsE,cell division ATP-binding protein FtsE,OG0005165
ABJ15341.1,PA14_04920,WP_003084508.1,PA14_RS01995,ftsX,permease-like cell division protein FtsX,OG0005166
ABJ15342.1,PA14_04930,WP_003084510.1,PA14_RS02000,rpoH,RNA polymerase sigma factor RpoH,OG0005167
ABJ15343.1,PA14_04940,WP_003084511.1,PA14_RS02005,PA14_RS02005,hypothetical protein,OG0005168
ABJ15344.1,PA14_04950,WP_003100972.1,PA14_RS02010,mtgA,monofunctional biosynthetic peptidoglycan transglycosylase,OG0005169
ABJ15345.1,PA14_04960,WP_003084513.1,PA14_RS02015,PA14_RS02015,DUF423 domain-containing protein,OG0005170
ABJ15346.1,PA14_04970,WP_003084514.1,PA14_RS02020,thiS,sulfur carrier protein ThiS,OG0005171
ABJ15347.1,PA14_04980,WP_003084517.1,PA14_RS02025,PA14_RS02025,thiazole synthase,OG0005172
ABJ15348.1,PA14_05000,WP_004365031.1,PA14_RS02030,trmB,tRNA (guanosine(46)-N7)-methyltransferase TrmB,OG0005173
ABJ15349.1,PA14_05010,WP_004365033.1,PA14_RS02035,PA14_RS02035,DUF1329 domain-containing protein,OG0000009
ABJ15350.1,PA14_05020,WP_003084524.1,PA14_RS02040,PA14_RS02040,hypothetical protein,OG0005174
ABJ15351.1,PA14_05030,WP_003084525.1,PA14_RS02045,PA14_RS02045,DUF3392 domain-containing protein,OG0005175
ABJ15352.1,PA14_05040,WP_004365036.1,PA14_RS02050,hemW,radical SAM family heme chaperone HemW,OG0005176
ABJ15353.1,PA14_05050,WP_003084527.1,PA14_RS02055,rdgB,RdgB/HAM1 family non-canonical purine NTP pyrophosphatase,OG0005177
ABJ15354.1,PA14_05060,WP_003084528.1,PA14_RS02060,PA14_RS02060,DUF4426 domain-containing protein,OG0005178
ABJ15355.1,PA14_05070,WP_003084530.1,PA14_RS02065,metW,methionine biosynthesis protein MetW,OG0005179
ABJ15356.1,PA14_05080,WP_003084535.1,PA14_RS02070,PA14_RS02070,homoserine O-acetyltransferase,OG0005180
ABJ15357.1,PA14_05110,WP_003084539.1,PA14_RS02075,PA14_RS02075,dynamin-like GTPase family protein,OG0005181
ABJ15358.1,PA14_05120,WP_031632852.1,PA14_RS02080,PA14_RS02080,DUF167 domain-containing protein,OG0005182
ABJ15359.1,PA14_05130,WP_003084544.1,PA14_RS02085,PA14_RS02085,YggT family protein,OG0005183
ABJ15360.1,PA14_05150,WP_003084546.1,PA14_RS02090,proC,pyrroline-5-carboxylate reductase,OG0005184
ABJ15361.1,PA14_05160,WP_004365038.1,PA14_RS02095,PA14_RS02095,YggS family pyridoxal phosphate-dependent enzyme,OG0005185
ABJ15362.1,PA14_05180,WP_003084552.1,PA14_RS02100,pilT,type IV pilus twitching motility protein PilT,OG0005186
ABJ15363.1,PA14_05190,WP_003110016.1,PA14_RS02105,pilU,type IV pilus ATPase PilU,OG0005187
ABJ15364.1,PA14_05200,WP_004365039.1,PA14_RS02110,czcD,CDF family zinc transporter CzcD,OG0005188
ABJ15365.1,PA14_05210,WP_003084560.1,PA14_RS02115,PA14_RS02115,NINE protein,OG0005189
ABJ15366.1,PA14_05220,WP_004365040.1,PA14_RS02120,PA14_RS02120,pyridoxal-phosphate dependent enzyme,OG0005190
ABJ15367.1,PA14_05230,WP_003110017.1,PA14_RS02125,PA14_RS02125,cystathionine gamma-synthase,OG0005191
ABJ15368.1,PA14_05250,WP_004365041.1,PA14_RS02130,PA14_RS02130,dihydroorotase,OG0005192
ABJ15369.1,PA14_05260,WP_003084569.1,PA14_RS02135,PA14_RS02135,aspartate carbamoyltransferase catalytic subunit,OG0005193
ABJ15370.1,PA14_05270,WP_003084574.1,PA14_RS02140,pyrR,bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR,OG0005194
ABJ15371.1,PA14_05280,WP_003084575.1,PA14_RS02145,ruvX,Holliday junction resolvase RuvX,OG0005195
ABJ15372.1,PA14_05290,WP_003084577.1,PA14_RS02150,PA14_RS02150,YqgE/AlgH family protein,OG0005196
ABJ15373.1,PA14_05300,WP_003084580.1,PA14_RS02155,PA14_RS02155,TonB family protein,OG0005197
ABJ15374.1,PA14_05310,WP_003100943.1,PA14_RS02160,gshB,glutathione synthase,OG0005198
ABJ15375.1,PA14_05320,WP_003084583.1,PA14_RS02165,pilG,twitching motility response regulator PilG,OG0005199
ABJ15376.1,PA14_05330,WP_003084587.1,PA14_RS02170,pilH,twitching motility response regulator PilH,OG0005200
ABJ15377.1,PA14_05340,WP_003084590.1,PA14_RS02175,PA14_RS02175,chemotaxis protein CheW,OG0005201
ABJ15378.1,PA14_05360,WP_003084592.1,PA14_RS02180,pilJ,chemotaxis chemoreceptor PilJ,OG0005202
ABJ15379.1,PA14_05380,WP_003084594.1,PA14_RS02185,pilK,type 4 fimbrial methyltransferase PilK,OG0005203
ABJ15380.1,PA14_05390,WP_004365046.1,PA14_RS02190,chpA,chemotaxis signal transduction system protein ChpA,OG0005204
ABJ15381.1,PA14_05400,WP_004365048.1,PA14_RS02195,PA14_RS02195,chemotaxis protein CheB,OG0005205
ABJ15382.1,PA14_05410,WP_003084602.1,PA14_RS02200,PA14_RS02200,chemotaxis protein CheW,OG0005206
ABJ15383.1,PA14_05420,WP_003128976.1,PA14_RS02205,PA14_RS02205,AraC family transcriptional regulator,OG0005207
ABJ15384.1,PA14_05430,WP_003084610.1,PA14_RS02210,PA14_RS02210,LysE family translocator,OG0005208
